,results_name,ranking_name,match_type,최종_매핑명
1,Saint Kitts and Nevis,St. Kitts and Nevis,"수동 (name_map, ranking 이름 기준)",St. Kitts and Nevis
2,Saint Lucia,St. Lucia,"수동 (name_map, ranking 이름 기준)",St. Lucia
3,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,"수동 (name_map, ranking 이름 기준)",St. Vincent and the Grenadines
4,Brunei,Brunei Darussalam,"수동 (ranking_name_map, results 이름 기준)",Brunei
5,Cape Verde,Cabo Verde,"수동 (ranking_name_map, results 이름 기준)",Cape Verde
6,China,China PR,"수동 (ranking_name_map, results 이름 기준)",China
7,Curaçao,Curacao,"수동 (ranking_name_map, results 이름 기준)",Curaçao
8,DR Congo,Congo DR,"수동 (ranking_name_map, results 이름 기준)",DR Congo
9,Iran,IR Iran,"수동 (ranking_name_map, results 이름 기준)",Iran
10,Ivory Coast,Côte d'Ivoire,"수동 (ranking_name_map, results 이름 기준)",Ivory Coast
11,Kyrgyzstan,Kyrgyz Republic,"수동 (ranking_name_map, results 이름 기준)",Kyrgyzstan
12,North Korea,Korea DPR,"수동 (ranking_name_map, results 이름 기준)",North Korea
13,South Korea,Korea Republic,"수동 (ranking_name_map, results 이름 기준)",South Korea
14,São Tomé and Príncipe,São Tomé e Príncipe,"수동 (ranking_name_map, results 이름 기준)",São Tomé and Príncipe
15,Taiwan,Chinese Taipei,"수동 (ranking_name_map, results 이름 기준)",Taiwan
16,Turkey,Türkiye,"수동 (ranking_name_map, results 이름 기준)",Turkey
17,United States,USA,"수동 (ranking_name_map, results 이름 기준)",United States
18,United States Virgin Islands,US Virgin Islands,"수동 (ranking_name_map, results 이름 기준)",United States Virgin Islands
19,Afghanistan,Afghanistan,자동 (정확 일치),Afghanistan
20,Albania,Albania,자동 (정확 일치),Albania
21,Algeria,Algeria,자동 (정확 일치),Algeria
22,American Samoa,American Samoa,자동 (정확 일치),American Samoa
23,Andorra,Andorra,자동 (정확 일치),Andorra
24,Angola,Angola,자동 (정확 일치),Angola
25,Anguilla,Anguilla,자동 (정확 일치),Anguilla
26,Antigua and Barbuda,Antigua and Barbuda,자동 (정확 일치),Antigua and Barbuda
27,Argentina,Argentina,자동 (정확 일치),Argentina
28,Armenia,Armenia,자동 (정확 일치),Armenia
29,Aruba,Aruba,자동 (정확 일치),Aruba
30,Australia,Australia,자동 (정확 일치),Australia
31,Austria,Austria,자동 (정확 일치),Austria
